CustomerID,Churn,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,Estimated_Returns,Estimated_CO2_kg,TenureBucket,DistanceCategory
50001,1,4,Mobile,3,6,Debit Card,Female,3,3,Laptop & Accessory,2,Single,9,1,11,1,1,5,159.93,1.0,1.2,4-12 Mos,Close (0-10km)
50002,1,3,Mobile,1,8,UPI,Male,3,4,Mobile,3,Single,7,1,15,0,1,0,120.9,1.0,1.2,0-3 Mos (High Risk),Close (0-10km)
50003,1,3,Mobile,1,30,Debit Card,Male,2,4,Mobile,3,Single,6,1,14,0,1,3,120.28,1.0,1.2,0-3 Mos (High Risk),Far (21-50km)
50004,1,0,Mobile,3,15,Debit Card,Male,2,4,Laptop & Accessory,5,Single,8,0,23,0,1,3,134.07,1.0,1.2,0-3 Mos (High Risk),Moderate (11-20km)
50005,1,0,Mobile,1,12,Credit Card,Male,3,3,Mobile,5,Single,3,0,11,1,1,3,129.6,1.0,1.2,0-3 Mos (High Risk),Moderate (11-20km)
50006,1,0,Computer,1,22,Debit Card,Female,3,5,Mobile,5,Single,2,1,22,4,6,7,139.19,2.0,2.4,0-3 Mos (High Risk),Far (21-50km)
50007,1,8,Mobile,3,11,Cash on Delivery,Male,2,3,Laptop & Accessory,2,Divorced,4,0,14,0,1,0,120.86000000000001,1.0,1.2,4-12 Mos,Moderate (11-20km)
50008,1,3,Mobile,1,6,Credit Card,Male,3,3,Mobile,2,Divorced,3,1,16,2,2,0,122.93,1.0,1.2,0-3 Mos (High Risk),Close (0-10km)
50009,1,13,Mobile,3,9,E wallet,Male,3,4,Mobile,3,Divorced,2,1,14,0,1,2,126.83000000000001,1.0,1.2,1-5 Yrs,Close (0-10km)
50010,1,3,Mobile,1,31,Debit Card,Male,2,5,Mobile,3,Single,2,0,12,1,1,1,122.93,1.0,1.2,0-3 Mos (High Risk),Far (21-50km)
50011,1,4,Mobile,1,18,Cash on Delivery,Female,2,3,Others,3,Divorced,2,0,15,9,15,8,295.45,1.0,1.2,4-12 Mos,Moderate (11-20km)
50012,1,11,Mobile,1,6,Debit Card,Male,3,4,Fashion,3,Single,10,1,13,0,1,0,153.81,1.0,1.2,4-12 Mos,Close (0-10km)
50013,1,0,Mobile,1,11,Cash on Delivery,Male,2,3,Mobile,3,Single,2,1,13,2,2,2,134.41,1.0,1.2,0-3 Mos (High Risk),Moderate (11-20km)
50014,1,0,Mobile,1,15,Credit Card,Male,3,4,Mobile,3,Divorced,1,1,17,0,1,0,133.88,1.0,1.2,0-3 Mos (High Risk),Moderate (11-20km)
50015,1,9,Mobile,3,15,Credit Card,Male,3,4,Fashion,2,Single,2,0,16,0,4,7,196.19,1.0,1.2,4-12 Mos,Moderate (11-20km)
50016,1,3,Mobile,2,12,UPI,Male,3,3,Mobile,5,Married,5,1,22,1,1,2,120.72999999999999,1.0,1.2,0-3 Mos (High Risk),Moderate (11-20km)
50017,1,0,Computer,1,12,Debit Card,Female,3,4,Mobile,2,Single,2,1,18,1,1,0,129.26,1.0,1.2,0-3 Mos (High Risk),Moderate (11-20km)
50018,1,0,Mobile,3,11,E wallet,Male,2,4,Laptop & Accessory,3,Single,2,1,11,1,1,3,157.44,1.0,1.2,0-3 Mos (High Risk),Moderate (11-20km)
50019,1,0,Computer,1,13,Debit Card,Male,3,5,Laptop & Accessory,3,Single,2,1,24,1,1,6,160.74,1.0,1.2,0-3 Mos (High Risk),Moderate (11-20km)
50020,1,19,Mobile,1,20,Debit Card,Female,3,3,Mobile,4,Divorced,10,1,18,1,4,3,149.63,1.0,1.2,1-5 Yrs,Moderate (11-20km)
50021,1,0,Mobile,3,12,Debit Card,Male,3,5,Laptop & Accessory,3,Divorced,5,1,18,6,7,7,161.72,2.0,2.4,0-3 Mos (High Risk),Moderate (11-20km)
50022,1,20,Mobile,1,29,Credit Card,Female,3,3,Fashion,2,Divorced,2,0,12,11,15,6,203.12,1.0,1.2,1-5 Yrs,Far (21-50km)
50023,1,3,Mobile,3,28,E wallet,Male,2,3,Mobile,3,Single,2,1,19,0,1,0,116.75,1.0,1.2,0-3 Mos (High Risk),Far (21-50km)
50024,1,0,Mobile,3,26,Debit Card,Female,3,5,Laptop & Accessory,3,Divorced,4,1,11,1,2,2,145.59,1.0,1.2,0-3 Mos (High Risk),Far (21-50km)
50025,1,14,Computer,1,14,Debit Card,Male,2,5,Fashion,2,Single,3,0,15,0,1,3,206.5,1.0,1.2,1-5 Yrs,Moderate (11-20km)
50026,1,0,Mobile,1,15,Credit Card,Female,2,3,Mobile,5,Single,8,0,22,1,1,4,142.0,1.0,1.2,0-3 Mos (High Risk),Moderate (11-20km)
50027,0,8,Mobile,3,6,E wallet,Male,3,3,Fashion,4,Divorced,2,0,13,1,1,6,172.95,1.0,1.2,4-12 Mos,Close (0-10km)
50028,0,8,Mobile,3,12,E wallet,Male,2,3,Laptop & Accessory,3,Divorced,3,1,20,0,4,5,123.06,1.0,1.2,4-12 Mos,Moderate (11-20km)
50029,0,18,Mobile,1,13,Debit Card,Male,2,3,Laptop & Accessory,4,Married,9,0,18,1,1,15,123.47999999999999,1.0,1.2,1-5 Yrs,Moderate (11-20km)
50030,0,5,Computer,3,14,E wallet,Female,2,3,Fashion,2,Single,2,0,14,2,3,7,189.98,1.0,1.2,4-12 Mos,Moderate (11-20km)
50031,0,2,Computer,1,6,Cash on Delivery,Male,2,3,Laptop & Accessory,3,Divorced,2,0,13,0,1,9,143.19,1.0,1.2,0-3 Mos (High Risk),Close (0-10km)
50032,0,0,Mobile,1,13,Credit Card,Male,2,4,Laptop & Accessory,3,Divorced,3,0,17,1,1,0,161.32,1.0,1.2,0-3 Mos (High Risk),Moderate (11-20km)
50033,0,30,Mobile,1,15,Credit Card,Female,3,4,Mobile,4,Divorced,5,1,20,1,1,0,133.46,1.0,1.2,1-5 Yrs,Moderate (11-20km)
50034,0,13,Mobile,3,10,E wallet,Male,3,4,Fashion,2,Divorced,8,0,11,2,2,11,208.55,1.0,1.2,1-5 Yrs,Close (0-10km)
50035,0,3,Computer,3,8,E wallet,Female,3,3,Mobile,3,Divorced,7,0,18,1,1,2,122.31,1.0,1.2,0-3 Mos (High Risk),Close (0-10km)
50036,0,0,Mobile,1,13,Credit Card,Male,3,3,Mobile,2,Divorced,2,0,24,0,2,2,123.22999999999999,1.0,1.2,0-3 Mos (High Risk),Moderate (11-20km)
50037,0,3,Computer,1,15,Credit Card,Male,2,3,Mobile,4,Married,7,0,18,0,2,2,120.24000000000001,1.0,1.2,0-3 Mos (High Risk),Moderate (11-20km)
50038,0,1,Mobile,1,27,Credit Card,Male,3,3,Mobile,2,Divorced,2,0,11,0,1,2,127.13,1.0,1.2,0-3 Mos (High Risk),Far (21-50km)
50039,0,30,Mobile,1,30,Debit Card,Male,2,2,Fashion,2,Married,4,1,16,1,1,4,194.39,1.0,1.2,1-5 Yrs,Far (21-50km)
50040,0,0,Computer,1,13,Credit Card,Male,3,4,Mobile,3,Married,2,1,15,0,1,1,125.66,1.0,1.2,0-3 Mos (High Risk),Moderate (11-20km)
50041,0,23,Mobile,1,17,Debit Card,Female,2,3,Others,4,Single,4,0,15,2,4,4,299.26,1.0,1.2,1-5 Yrs,Moderate (11-20km)
50042,0,14,Mobile,1,13,Debit Card,Male,2,3,Mobile,3,Married,5,0,12,1,1,8,124.50999999999999,1.0,1.2,1-5 Yrs,Moderate (11-20km)
50043,0,3,Mobile,3,11,Debit Card,Female,2,3,Fashion,2,Divorced,3,0,12,2,7,4,194.19,1.0,1.2,0-3 Mos (High Risk),Moderate (11-20km)
